"BehaviorSpace results (NetLogo 6.2.0)"
"draft-adjusting.nlogo"
"virus-1"
"09/05/2021 05:50:16:705 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-of-nodes","average-node-degree","rural-pop","urban-pop","initial-outbreak-area","initial-outbreak-size","prob-infected","prob-recovered","prob-resistant","tourist-rate","[step]","%-sum-total-pop-i","%-sum-total-pop-i-urban","%-sum-total-pop-i-rural","%-sum-total-pop-r","%-sum-total-pop-r-urban","%-sum-total-pop-r-rural","mean-total-pop-i-%","mean-total-pop-i-%-urban","mean-total-pop-i-%-rural","mean-total-pop-r-%","mean-total-pop-r-%-urban","mean-total-pop-r-%-rural","var-total-pop-r-%","var-total-pop-r-%-urban","var-total-pop-r-%-rural"
"2","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03714244016345593","0.03737726370707727","0.036647838031425385","0.9087244600116754","0.9084659523819772","0.9092689472586656","0.03669105841205224","0.03708495249576448","0.03617596614873621","0.9090521818300412","0.9088599910740496","0.909303508203261","1.5748449814308172E-5","1.0279179337902599E-5","2.3481898582128364E-5"
"4","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03687098657326328","0.03687302682472977","0.036866270359093324","0.9089667250437828","0.9086119300006272","0.9097868638538495","0.036729546207499846","0.036645627184516985","0.03683928646832361","0.9094099744330334","0.9087694279225459","0.9102476121775168","1.4334959345702452E-5","8.172453577602033E-6","2.175515509114777E-5"
"3","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.0371290780141844","0.03704580610537614","0.0373420532073796","0.9086014184397163","0.9087863434037314","0.9081284566630334","0.03710567312405399","0.0369364175272694","0.03734263095955239","0.9087421206108228","0.9087271556888465","0.9087630715015897","1.6253710551188107E-5","1.0997596748104265E-5","2.437632589074222E-5"
"1","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03733617021276596","0.037305896765221995","0.037402142934449295","0.9078893617021276","0.9079230540012582","0.9078159385259208","0.03732507821533549","0.037380037096708285","0.03724813578141357","0.9078151618784603","0.9078715928586318","0.9077361585062202","1.0728101493789253E-5","1.1269520441610623E-5","1.0396949952285962E-5"
"5","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.037024346257889994","0.036960720611665436","0.03715671932001259","0.9079470994890292","0.9081478250807751","0.907529490194626","0.03700205608367721","0.036717894059461874","0.03734936522438486","0.9078310952323673","0.9081130574973499","0.9074864746862775","1.7114611641746964E-5","1.2233149576347284E-5","2.3556580809071383E-5"
"6","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.036688351920693925","0.03647943621447887","0.03713327257567237","0.909182156133829","0.9093135692758744","0.9089022900467317","0.03671541875770815","0.036463774263329564","0.03700301246556938","0.9089395506401738","0.9091128629334482","0.9087414794478604","1.5959539245426467E-5","1.5393484451746015E-5","1.7124263226731462E-5"
"8","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03717948717948718","0.037340345604808416","0.036652494965316626","0.9081292517006803","0.9078136739293764","0.9091631237413291","0.03709086237403772","0.03730976960218132","0.036712749889062424","0.9085400014804852","0.9079667578516466","0.9095301495666611","1.5291295693730253E-5","8.793408255503484E-6","2.5846408359811226E-5"
"7","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03743034825870647","0.037565116664985534","0.036992827490044046","0.907907960199005","0.9079402472236955","0.907803141538234","0.03744812602692514","0.03766451330843583","0.037015351463903765","0.9078746509137832","0.9080465889502323","0.9075307748408848","1.1200267662702638E-5","1.11547349162485E-5","1.1696505671600305E-5"
"10","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.037033003300330034","0.03732152634460683","0.03654825926974243","0.9084356435643565","0.9079676115065493","0.9092219784885367","0.0369479769193453","0.03729703208461175","0.036598921754078854","0.9080477577748851","0.9080972000985603","0.9079983154512098","5.196006752384267E-5","8.642543888507802E-6","9.706425994957813E-5"
"9","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.036914769410391124","0.0369469674772927","0.03684058250554537","0.9083508464681844","0.9080030136871625","0.9091522808371106","0.037101304311071163","0.03697846522518749","0.0372619400387652","0.9084836297138222","0.908049316118102","0.9090515782620721","1.4856280332841945E-5","1.1388491040582929E-5","1.9436010749118743E-5"
"11","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.037078225335668416","0.03732303194821466","0.03650993698497334","0.9083800350262697","0.9080851952390896","0.9090644692195832","0.03699715219204715","0.03739764226332204","0.03647343440653386","0.9086271391746964","0.908099411758927","0.9093172442568578","1.723444785680803E-5","1.168760231232982E-5","2.4371612197907705E-5"
"12","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.037217546544248914","0.0375547311073231","0.03613174039392961","0.908120377454731","0.9076172331962966","0.9097406091916909","0.03692150214794911","0.037555392814785496","0.035744276623824366","0.9085055400824718","0.9077356152567267","0.9099354004731398","1.6444970149526523E-5","9.854879843063731E-6","2.6485735202908395E-5"
"13","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.0371774664331582","0.03751674083034519","0.036470799964006116","0.9085814360770578","0.9082948114226466","0.9091784396652569","0.037001790181923754","0.03741234383710305","0.03646491232515084","0.9087703398555081","0.9083079335712971","0.9093750249963999","1.3839100780459525E-5","9.767175862867978E-6","1.9096541201017325E-5"
"14","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03718210361067504","0.037058146623715336","0.03750940592644804","0.9083856619570905","0.9083845274211527","0.9083886576433273","0.037069527690568066","0.0369016567954556","0.03735948650939866","0.9084078685062343","0.9084418473871312","0.908349177711958","9.660564080645158E-6","9.461873311343761E-6","1.0464967304182739E-5"
"16","60","10","100","10000","rural-area","6","0.7","0.55","0.2","0.05","100","0.03686802973977695","0.03650518811411734","0.037857877048517674","0.9090675340768277","0.9092090613133063","0.9086814417868733","0.03658321398762992","0.03632225627169831","0.036881451377266054","0.9094182623153931","0.9093201338921808","0.9095304090847778","1.3479915306904437E-5","9.975893241858457E-6","1.7977852795217162E-5"
